,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,*BW: BODYWEIGHT/ PESO CORPORAL,,,,,,,,,,,,,,
,*DKB: DOBLE KETTLLEBEL,,,,,,,,,,,,,,
,*DDB: DOBLE DUMBBELL (mancuerna),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,2. CONNECTION BREATH FILMAR INSTRUCCIONES,X8,,,2. SCRUM POSITION LATERAL WALK ,X8/8,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,
ESTRUCTURA,A1. SENTADILLA SPLIT EN GUIA *FILMAR,X8/8,,ESTRUCTURA,A1. PATADA DE GLUTEO EN POLEA,X12/12,,ESTRUCTURA,A1. SENTADILLA A CAJON + PRESS DDB,X10,,ESTRUCTURA,A1. SENTADILLA SUMO CON DB,X12,
,A2. CURL DE BICEP DDB,X10,,,A2. VUELO LATERAL,X12,,,A2. CAMINATA LATERAL CON BANDA + SENTADILLA,X8 PASOS + 8 SENT,,,A2. REMO GIRONDA AGARRE NEUTRO *FILMAR,X12,
,B1. PULL THROUGH EN POLEA *FILMAR,X10,,,B1. ESTOCADAS ATRÁS DDB,X6X/6,,,B1. PRESS DE HOMBRO CON DOBLE KB SENTADA,X10,,,B1. ABDUCCION INCLINADA EN MAQUINA,X20,
,B2. PULL-DOWN AGARRE ANCHO,X10,,,B2. PRESS PLANO DDB,X12,,,B2. GOBLET CURTSY LUNGES,X8/8,,,B2. PULL-DOWN A 1 MANO EN POLEA,X8/8,
,C1. PRESS DE HOMBROS CON KETTLEBELL,X12,,,C1. CURL DE FEMORAL CON FITBALL,X8,,,C1. EXTENSION TRICEPS CON BANDA,X15,,,C1.. HIP THRUST CON BARRA,X12,
,C2. ABDUCCIONES CON BANDA,X25,,,C2. FONDOS TRICEPS EN BANCO *RODILLAS FLEXIONADAS/SIN,X10,,,C2. CURL DE BICEP DDB,X10,,,C2.  CURL DE BICEP DDB,X12,
,,,,,,,,,,,,,,,
BLOQUES,DIA 3,SERIES 2-3 X REPS ,PESO EJECUTADO,BLOQUES,DIA 3,SERIES 2-3 X REPS,PESO EJECUTADO,BLOQUES,DIA 3,SERIES 2-3 X REPS ,PESO EJECUTADO,BLOQUES,DIA 3,SERIES 2-3 X REPS,PESO EJECUTADO
MOVILIDAD,1. 90/90 ROTACION CADERA,X5/5,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,,MOVILIDAD,1. ROTACIONES TORACICAS,X5/5,,MOVILIDAD,1. 90/90 ROTACION CADERA,X5/5,
,2. RANITAS,X20,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1'XLADO,,,2. ADELANTE/ATRÁS CON BANDA,X10,,,2. RANITAS,X20,
,3. ESCAPULACIONES,X10,,,3. ROTACION TORACICA,3XLADO,,,3. ROTACION DE HOMBRO,X5/5,,,3. ESCAPULACIONES,X10,
,4. ROTACIONES DE CADERA,X5/5,,,4. RANITAS,X20,,,4. RANITAS,X20,,,4. ROTACIONES DE CADERA,X5/5,
CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X8,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,CORE,1. BIRD DOG,X16,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,X8,
,2. SCRUM POSITION LATERAL WALK ,X8/8,,,2. DEAD BUG MARCH ,X12,,,2. CONNECTION BREATH FILMAR INSTRUCCIONES,X5,,,2. SCRUM POSITION LATERAL WALK ,X8/8,
ESTRUCTURA,A1. PATADA DE GLUTEO EN POLEA,X12/12,,ESTRUCTURA,A1. SENTADILLA SUMO CON BARRA,X8,,ESTRUCTURA,A1. SENTADILLA BULGARA UNILATERAL,X8/8,,ESTRUCTURA,A1. PATADA DE GLUTEO CRUZADA EN POLEA,X12/12,
,A2. VUELO LATERAL,X12,,,A2. FACE PULLS CON BANDA,X15,,,A2. CURL DE BICEP DDB,X30,,,A2. CURL DE FEMORAL PAUSA CONTRACCIÓN 2'',X12,
,B1. ESTOCADAS ATRÁS DDB,X6X/6,,,B1. HIP THRUST,X12,,,B1. PULL THROUGH EN POLEA *FILMAR,X10,,,B1. WALL BALLS,X12,
,B2. PRESS INCLINADO DDB *FILMAR,X12,,,B2. WALK OUT,X6 A 8,,,B2. PULL-DOWN AGARRE ANCHO,X12,,,B2. GOBLET CURTSY LUNGES,X8/8,
,C1. CURL DE FEMORAL CON FITBALL,X8,,,C1. PRESS INCLINADO DDB *FILMAR,X12,,,C1. PRESS DE HOMBROS CON KETTLEBELL,X15,,,C1. REMO AL MENTON CON BARRA,X12,
,C2. FONDOS TRICEPS EN BANCO *RODILLAS FLEXIONADAS/SIN,X10,,,C2. PESO MUERTO B-STANCE,X8/8,,,C2. ABDUCCIONES CON BANDA,X10,,,C2. TRICEPS CON BANDA,X15,
