,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,*BW: BODYWEIGHT/ PESO CORPORAL,,,,,,,,,,,,,,
,*DKB: DOBLE KETTLLEBEL,,,,,,,,,,,,,,
,*DDB: DOBLE DUMBBELL (mancuerna),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SEMANA 1-5-9,,,,SEMANA 2-6-10,,,,SEMANA 3-7-11,,,,SEMANA 4-8-12,,,
BLOQUES,DIA 1,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 1,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 1,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 1,SERIES X REPS,PESO EJECUTADO
MOVILIDAD,1. CAT CAMEL,3X10,,MOVILIDAD,1. ROTACIONES TORACICAS,3X5/5,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,
,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,3X1' POR LADO,,,2. ADELANTE/ATRÁS CON BANDA,3X10,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1' X LADO,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1' X LADO,
,3. ROTACION TORACICA,3X3 POR LADO,,,3. ROTACION DE HOMBRO,3X5/5,,,3. ROTACION TORACICA,3 X LADO,,,3. ROTACION TORACICA,3 X LADO,
,4. RANITAS,3X20,,,4. RANITAS,3X20,,,4. RANITAS,3X20,,,4. RANITAS,3X20,
CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,CORE,1. REVERSE CRUNCH,3X16,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,CORE,1. SUELO PELVICO + ACTIVACION DE ADUCTORES,3X8,
,2. DEAD BUG CON BANDA,3X12 TOTAL,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,,2. DEAD BUG MARCH ,3X12,,,2. PRESS PALLOF CON BANDA,3X10,
ESTRUCTURA,A1. SENTADILLA BACK *libre o en guía,3X10-12,,ESTRUCTURA,A1. PISTOL A CAJON + PRESS,3X4 POR LADO,,ESTRUCTURA,A1. SENTADILLA SUMO CON BARRA,3X8,,ESTRUCTURA,A1. SENTADILLA GOBLET A CAJÓN,2X12,
