,A2. FACE PULLS CON BANDA,3X15,,,A2. CAMINATA LATERAL CON BANDA + SENTADILLA,3X8 PASOS + 8 SENT,,,A2. FACE PULLS CON BANDA,3X15,,,A2. VUELO LATERAL,3X12,
,B1. HIP THRUST,3X12,,,B1. PRESS DE HOMBRO CON DOBLE KB SENTADA,3X10,,,B1. HIP THRUST,3X12,,,B1. ESTOCADAS ATRÁS DDB,3X6X/6,
,B2. WALK OUT,3X6 A 8,,,B2. GOBLET CURTSY LUNGES,3X8/8,,,B2. WALK OUT,3X6 A 8,,,B2. PRESS PLANO DDB,3X12,
,C1. SENTADILLA + HALO,3X5,,,C1. EXTENSION TRICEPS CON BANDA,3X15,,,C1. PRESS INCLINADO DDB *FILMAR,3X12,,,C1. CURL DE FEMORAL CON FITBALL,3X8,
,C2. REMO GIRONDA AGARRE NEUTRO *FILMAR,3X12,,,C2. CURL DE BICEP DDB,3X10,,,C2. PESO MUERTO B-STANCE,3X8/8,,,C2. FONDOS TRICEPS EN BANCO *RODILLAS FLEXIONADAS/SIN,3X10,
,,,,,,,,,,,,,,,
BLOQUES,DIA 2 ,SERIES X RESPS,PESO EJECUTADO,BLOQUES,DIA 2,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 2,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 2,SERIES X REPS,PESO EJECUTADO
MOVILIDAD,1. ROTACIONES TORACICAS,3X5/5,,MOVILIDAD,1. 90/90 ROTACION CADERA,3X5/5,,MOVILIDAD,1. ROTACIONES TORACICAS,3X5/5,,MOVILIDAD,1. ROTACIONES TORACICAS,3X5/5,
,2. ADELANTE/ATRÁS CON BANDA,3X10,,,2. RANITAS,3X20,,,2. ADELANTE/ATRÁS CON BANDA,3X10,,,2. ADELANTE/ATRÁS CON BANDA,3X10,
,3. ROTACION DE HOMBRO,3X5/5,,,3. ESCAPULACIONES,3X10,,,3. ROTACION DE HOMBRO,3X5/5,,,3. ROTACION DE HOMBRO,3X5/5,
,4. RANITAS,3X20,,,4. ROTACIONES DE CADERA,3X5/5,,,4. RANITAS,3X20,,,4. RANITAS,3X20,
CORE,1. BIRD DOG,3X16,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X8,,CORE,1. REVERSE CRUNCH,3X16,,CORE,1. REVERSE CRUNCH,3X16,
,2. CONNECTION BREATH FILMAR INSTRUCCIONES,3X8,,,2. SCRUM POSITION LATERAL WALK ,3X8/8,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,
ESTRUCTURA,A1. SENTADILLA BULGARA UNILATERAL,3X8/8,,ESTRUCTURA,A1. PATADA DE GLUTEO EN POLEA,3X12/12,,ESTRUCTURA,A1. PISTOL A CAJON + PRESS,3X4 POR LADO,,ESTRUCTURA,A1. SENTADILLA SUMO CON DB,3X12,
,A2. CURL DE BICEP DDB,3X10,,,A2. VUELO LATERAL,3X12,,,A2. CAMINATA LATERAL CON BANDA + SENTADILLA,3X8 PASOS + 8 SENT,,,A2. REMO GIRONDA AGARRE NEUTRO *FILMAR,3X12,
,B1. PULL THROUGH EN POLEA *FILMAR,3X10,,,B1. ESTOCADAS ATRÁS DDB,3X6X/6,,,B1. PRESS DE HOMBRO CON DOBLE KB SENTADA,3X10,,,B1. ABDUCCION INCLINADA EN MAQUINA,3X20,
,B2. PULL-DOWN AGARRE ANCHO,3X10,,,B2. PRESS PLANO DDB,3X12,,,B2. GOBLET CURTSY LUNGES,3X8/8,,,B2. PULL-DOWN A 1 MANO EN POLEA,3X8/8,
,C1. PRESS DE HOMBROS CON KETTLEBELL,3X12,,,C1. CURL DE FEMORAL CON FITBALL,3X8,,,C1. EXTENSION TRICEPS CON BANDA,3X15,,,C1.. HIP THRUST CON BARRA,3X12,
,C2. ABDUCCIONES CON BANDA,3X25,,,C2. FONDOS TRICEPS EN BANCO *RODILLAS FLEXIONADAS/SIN,3X10,,,C2. CURL DE BICEP DDB,3X10,,,C2.  CURL DE BICEP DDB,3X12,
,,,,,,,,,,,,,,,
BLOQUES,DIA 3,SERIES X RESPS,PESO EJECUTADO,BLOQUES,DIA 3,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 3,SERIES X REPS,PESO EJECUTADO,BLOQUES,DIA 3,SERIES X REPS,PESO EJECUTADO
MOVILIDAD,1. 90/90 ROTACION CADERA,3X5/5,,MOVILIDAD,1. CAT CAMEL,10 TOTAL,,MOVILIDAD,1. ROTACIONES TORACICAS,3X5/5,,MOVILIDAD,1. 90/90 ROTACION CADERA,3X5/5,
,2. RANITAS,3X20,,,2. FLEXION DE TOBILLO + ACTIVACION DE ISQUIOS,1' X LADO,,,2. ADELANTE/ATRÁS CON BANDA,3X10,,,2. RANITAS,3X20,
,3. ESCAPULACIONES,3X10,,,3. ROTACION TORACICA,3 X LADO,,,3. ROTACION DE HOMBRO,3X5/5,,,3. ESCAPULACIONES,3X10,
,4. ROTACIONES DE CADERA,3X5/5,,,4. RANITAS,3X20,,,4. RANITAS,3X20,,,4. ROTACIONES DE CADERA,3X5/5,
CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X8,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,CORE,1. BIRD DOG,3X16,,CORE,1. CONNECTION BREATH FILMAR INSTRUCCIONES,3X8,
,2. SCRUM POSITION LATERAL WALK ,3X8/8,,,2. DEAD BUG MARCH ,3X12,,,2. CONNECTION BREATH FILMAR INSTRUCCIONES,3X5,,,2. SCRUM POSITION LATERAL WALK ,3X8/8,
ESTRUCTURA,A1. PATADA DE GLUTEO EN POLEA,3X12/12,,ESTRUCTURA,A1. SENTADILLA SUMO CON BARRA,3X8,,ESTRUCTURA,A1. SENTADILLA BULGARA UNILATERAL,3X8/8,,ESTRUCTURA,A1. PATADA DE GLUTEO CRUZADA EN POLEA,3X12/12,
,A2. VUELO LATERAL,3X12,,,A2. FACE PULLS CON BANDA,3X15,,,A2. CURL DE BICEP DDB,3X12,,,A2. CURL DE FEMORAL PAUSA CONTRACCIÓN 2'',3X12,
,B1. ESTOCADAS ATRÁS DDB,3X6X/6,,,B1. HIP THRUST,3X12,,,B1. PULL THROUGH EN POLEA *FILMAR,3X10,,,B1. WALL BALLS,3X12,
,B2. PRESS PLANO DDB,3X12,,,B2. WALK OUT,3X6 A 8,,,B2. PULL-DOWN AGARRE ANCHO,3X12,,,B2. GOBLET CURTSY LUNGES,3X8/8,
,C1. CURL DE FEMORAL CON FITBALL,3X8,,,C1. PRESS INCLINADO DDB *FILMAR,3X12,,,C1. PRESS DE HOMBROS CON KETTLEBELL,3X10,,,C1. REMO AL MENTON CON BARRA,3X12,
,C2. FONDOS TRICEPS EN BANCO *RODILLAS FLEXIONADAS/SIN,3X10,,,C2. PESO MUERTO B-STANCE,3X8/8,,,C2. ABDUCCIONES CON BANDA,3X20,,,C2. TRICEPS CON BANDA,3X15,
